Test_Date	County	Total_Number_of_Tests_Performed		
7/25/2022	Central New York	957		
7/25/2022	Chautauqua	106		
7/25/2022	Chemung	91		
7/25/2022	Chenango	46		
7/25/2022	Clinton	116		
7/25/2022	Columbia	71		
7/25/2022	Cortland	81		
7/25/2022	Delaware	48		
7/25/2022	Dutchess	449		
7/25/2022	Erie	1122		
7/25/2022	Essex	36		
7/25/2022	Finger Lakes	1385		
7/25/2022	Franklin	50		
7/25/2022	Fulton	83		
7/25/2022	Genesee	79		
7/25/2022	Greene	38		
7/25/2022	Hamilton	3		
7/25/2022	Herkimer	99		
7/25/2022	Jefferson	163		
7/25/2022	Kings	6469		
7/25/2022	Lewis	57		
7/25/2022	Livingston	40		
7/25/2022	Long Island	7511		
7/25/2022	Madison	86		
7/25/2022	Mid-Hudson	6127		
7/25/2022	Mohawk Valley	667		
7/25/2022	Monroe	896		
7/25/2022	Montgomery	68		
7/25/2022	Nassau	3727		
7/25/2022	New York	6267		
7/25/2022	New York City	24607		
7/25/2022	Niagara	216		
7/25/2022	North Country	564		
7/25/2022	Oneida	306		
7/25/2022	Onondaga	516		
7/25/2022	Ontario	106		
7/25/2022	Orange	799		
7/25/2022	Orleans	49		
7/25/2022	Oswego	153		
7/25/2022	Otsego	77		
7/25/2022	Putnam	221		
7/25/2022	Queens	6428		
7/25/2022	Rensselaer	333		
7/25/2022	Richmond	1397		
7/25/2022	Rockland	2154		
7/25/2022	STATEWIDE	45808		
7/25/2022	Saratoga	299		
7/25/2022	Schenectady	189		
7/25/2022	Schoharie	34		
7/25/2022	Schuyler	75		
7/25/2022	Seneca	41		
7/25/2022	Southern Tier	840		
7/25/2022	St. Lawrence	139		
7/25/2022	Steuben	103		
7/25/2022	Suffolk	3784		
7/25/2022	Sullivan	192		
7/25/2022	Tioga	60		
7/25/2022	Tompkins	167		
7/25/2022	Ulster	220		
7/25/2022	Warren	114		
7/25/2022	Washington	111		
7/25/2022	Wayne	113		
7/25/2022	Westchester	2092		
7/25/2022	Western New York	1557		
7/25/2022	Wyoming	46		
7/25/2022	Yates	15		
7/24/2022	Albany	486		
7/24/2022	Allegany	66		
7/24/2022	Bronx	3830		
7/24/2022	Broome	244		
7/24/2022	Capital Region	1875		
7/24/2022	Cattaraugus	76		
7/24/2022	Cayuga	104		
7/24/2022	Central New York	1122		
7/24/2022	Chautauqua	112		
7/24/2022	Chemung	74		
7/24/2022	Chenango	62		
7/24/2022	Clinton	111		
7/24/2022	Columbia	78		
7/24/2022	Cortland	57		
7/24/2022	Delaware	68		
7/24/2022	Dutchess	483		
7/24/2022	Erie	1241		
7/24/2022	Essex	45		
7/24/2022	Finger Lakes	1817		
7/24/2022	Franklin	80		
7/24/2022	Fulton	76		
7/24/2022	Genesee	91		
7/24/2022	Greene	57		
7/24/2022	Hamilton	15		
7/24/2022	Herkimer	80		
7/24/2022	Jefferson	153		
7/24/2022	Kings	7050		
7/24/2022	Lewis	27		
7/24/2022	Livingston	58		
7/24/2022	Long Island	7676		
7/24/2022	Madison	74		
7/24/2022	Mid-Hudson	4898		
7/24/2022	Mohawk Valley	722		
7/24/2022	Monroe	1201		
7/24/2022	Montgomery	61		
7/24/2022	Nassau	3782		
7/24/2022	New York	5948		
7/24/2022	New York City	25732		
7/24/2022	Niagara	208		
7/24/2022	North Country	595		
7/24/2022	Oneida	381		
7/24/2022	Onondaga	746		
7/24/2022	Ontario	175		
7/24/2022	Orange	788		
7/24/2022	Orleans	45		
7/24/2022	Oswego	141		
7/24/2022	Otsego	97		
7/24/2022	Putnam	171		
7/24/2022	Queens	7261		
7/24/2022	Rensselaer	252		
7/24/2022	Richmond	1643		
7/24/2022	Rockland	827		
7/24/2022	STATEWIDE	46803		
7/24/2022	Saratoga	397		
7/24/2022	Schenectady	294		
7/24/2022	Schoharie	27		
7/24/2022	Schuyler	12		
7/24/2022	Seneca	40		
7/24/2022	Southern Tier	663		
7/24/2022	St. Lawrence	164		
7/24/2022	Steuben	88		
7/24/2022	Suffolk	3894		
7/24/2022	Sullivan	142		
7/24/2022	Tioga	62		
7/24/2022	Tompkins	53		
7/24/2022	Ulster	253		
7/24/2022	Warren	195		
7/24/2022	Washington	116		
7/24/2022	Wayne	144		
7/24/2022	Westchester	2234		
7/24/2022	Western New York	1703		
7/24/2022	Wyoming	34		
7/24/2022	Yates	29		
7/23/2022	Albany	530		
7/23/2022	Allegany	56		
7/23/2022	Bronx	6197		
7/23/2022	Broome	420		
7/23/2022	Capital Region	2083		
7/23/2022	Cattaraugus	109		
7/23/2022	Cayuga	153		
7/23/2022	Central New York	1654		
7/23/2022	Chautauqua	99		
7/23/2022	Chemung	201		
7/23/2022	Chenango	81		
7/23/2022	Clinton	108		
7/23/2022	Columbia	91		
7/23/2022	Cortland	122		
7/23/2022	Delaware	104		
7/23/2022	Dutchess	718		
7/23/2022	Erie	1619		
7/23/2022	Essex	79		
7/23/2022	Finger Lakes	2435		
7/23/2022	Franklin	111		
7/23/2022	Fulton	86		
7/23/2022	Genesee	125		
7/23/2022	Greene	73		
7/23/2022	Hamilton	8		
7/23/2022	Herkimer	120		
7/23/2022	Jefferson	207		
7/23/2022	Kings	12025		
7/23/2022	Lewis	31		
7/23/2022	Livingston	111		
7/23/2022	Long Island	10492		
7/23/2022	Madison	160		
7/23/2022	Mid-Hudson	7601		
7/23/2022	Mohawk Valley	1129		
7/23/2022	Monroe	1534		
7/23/2022	Montgomery	75		
7/23/2022	Nassau	5562		
7/23/2022	New York	10576		
7/23/2022	New York City	41331		
7/23/2022	Niagara	265		
7/23/2022	North Country	748		
7/23/2022	Oneida	595		
7/23/2022	Onondaga	1014		
7/23/2022	Ontario	263		
7/23/2022	Orange	1572		
7/23/2022	Orleans	76		
7/23/2022	Oswego	205		
7/23/2022	Otsego	193		
7/23/2022	Putnam	245		
7/23/2022	Queens	10227		
7/23/2022	Rensselaer	316		
7/23/2022	Richmond	2306		
7/23/2022	Rockland	908		
7/23/2022	STATEWIDE	71004		
7/23/2022	Saratoga	462		
7/23/2022	Schenectady	358		
7/23/2022	Schoharie	60		
7/23/2022	Schuyler	51		
7/23/2022	Seneca	73		
7/23/2022	Southern Tier	1383		
7/23/2022	St. Lawrence	204		
7/23/2022	Steuben	156		
7/23/2022	Suffolk	4930		
7/23/2022	Sullivan	208		
7/23/2022	Tioga	107		
7/23/2022	Tompkins	263		
7/23/2022	Ulster	447		
7/23/2022	Warren	147		
7/23/2022	Washington	106		
7/23/2022	Wayne	171		
7/23/2022	Westchester	3503		
7/23/2022	Western New York	2148		
7/23/2022	Wyoming	61		
7/23/2022	Yates	21		
7/22/2022	Albany	547		
7/22/2022	Allegany	64		
7/22/2022	Bronx	6483		
7/22/2022	Broome	463		
7/22/2022	Capital Region	2375		
7/22/2022	Cattaraugus	114		
7/22/2022	Cayuga	188		
7/22/2022	Central New York	1707		
7/22/2022	Chautauqua	131		
7/22/2022	Chemung	289		
7/22/2022	Chenango	87		
7/22/2022	Clinton	147		
7/22/2022	Columbia	137		
7/22/2022	Cortland	113		
7/22/2022	Delaware	100		
7/22/2022	Dutchess	577		
7/22/2022	Erie	1575		
7/22/2022	Essex	79		
7/22/2022	Finger Lakes	2762		
7/22/2022	Franklin	97		
7/22/2022	Fulton	81		
7/22/2022	Genesee	140		
7/22/2022	Greene	69		
7/22/2022	Hamilton	7		
7/22/2022	Herkimer	126		
7/22/2022	Jefferson	234		
7/22/2022	Kings	12743		
7/22/2022	Lewis	61		
7/22/2022	Livingston	124		
7/22/2022	Long Island	11466		
7/22/2022	Madison	136		
7/22/2022	Mid-Hudson	7455		
7/22/2022	Mohawk Valley	1191		
7/22/2022	Monroe	1829		
7/22/2022	Montgomery	62		
7/22/2022	Nassau	5882		
7/22/2022	New York	11037		
7/22/2022	New York City	42866		
7/22/2022	Niagara	236		
7/22/2022	North Country	842		
7/22/2022	Oneida	631		
7/22/2022	Onondaga	1055		
7/22/2022	Ontario	199		
7/22/2022	Orange	1343		
7/22/2022	Orleans	68		
7/22/2022	Oswego	215		
7/22/2022	Otsego	203		
7/22/2022	Putnam	278		
7/22/2022	Queens	10269		
7/22/2022	Rensselaer	381		
7/22/2022	Richmond	2334		
7/22/2022	Rockland	1133		
7/22/2022	STATEWIDE	74454		
7/22/2022	Saratoga	467		
7/22/2022	Schenectady	283		
7/22/2022	Schoharie	88		
7/22/2022	Schuyler	60		
7/22/2022	Seneca	82		
7/22/2022	Southern Tier	1670		
7/22/2022	St. Lawrence	217		
7/22/2022	Steuben	198		
7/22/2022	Suffolk	5584		
7/22/2022	Sullivan	250		
7/22/2022	Tioga	103		
7/22/2022	Tompkins	370		
7/22/2022	Ulster	490		
7/22/2022	Warren	308		
7/22/2022	Washington	183		
7/22/2022	Wayne	172		
7/22/2022	Westchester	3384		
7/22/2022	Western New York	2120		
7/22/2022	Wyoming	92		
7/22/2022	Yates	56		
7/21/2022	Albany	647		
7/21/2022	Allegany	38		
7/21/2022	Bronx	7291		
7/21/2022	Broome	588		
7/21/2022	Capital Region	2557		
7/21/2022	Cattaraugus	102		
7/21/2022	Cayuga	153		
7/21/2022	Central New York	2105		
7/21/2022	Chautauqua	172		
7/21/2022	Chemung	245		
7/21/2022	Chenango	92		
7/21/2022	Clinton	121		
7/21/2022	Columbia	95		
7/21/2022	Cortland	122		
7/21/2022	Delaware	132		
7/21/2022	Dutchess	823		
7/21/2022	Erie	1860		
7/21/2022	Essex	110		
7/21/2022	Finger Lakes	2361		
7/21/2022	Franklin	120		
7/21/2022	Fulton	72		
7/21/2022	Genesee	115		
7/21/2022	Greene	55		
7/21/2022	Hamilton	14		
7/21/2022	Herkimer	122		
7/21/2022	Jefferson	234		
7/21/2022	Kings	15576		
7/21/2022	Lewis	61		
7/21/2022	Livingston	120		
7/21/2022	Long Island	11215		
7/21/2022	Madison	132		
7/21/2022	Mid-Hudson	8632		
7/21/2022	Mohawk Valley	1239		
7/21/2022	Monroe	1536		
7/21/2022	Montgomery	113		
7/21/2022	Nassau	5954		
7/21/2022	New York	11868		
7/21/2022	New York City	49366		
7/21/2022	Niagara	322		
7/21/2022	North Country	887		
7/21/2022	Oneida	570		
7/21/2022	Onondaga	1507		
7/21/2022	Ontario	222		
7/21/2022	Orange	1583		
7/21/2022	Orleans	90		
7/21/2022	Oswego	191		
7/21/2022	Otsego	284		
7/21/2022	Putnam	292		
7/21/2022	Queens	12138		
7/21/2022	Rensselaer	398		
7/21/2022	Richmond	2493		
7/21/2022	Rockland	1507		
7/21/2022	STATEWIDE	82661		
7/21/2022	Saratoga	529		
7/21/2022	Schenectady	425		
7/21/2022	Schoharie	78		
7/21/2022	Schuyler	50		
7/21/2022	Seneca	40		
7/21/2022	Southern Tier	1805		
7/21/2022	St. Lawrence	227		
7/21/2022	Steuben	184		
7/21/2022	Suffolk	5261		
7/21/2022	Sullivan	258		
7/21/2022	Tioga	140		
7/21/2022	Tompkins	374		
7/21/2022	Ulster	425		
7/21/2022	Warren	227		
7/21/2022	Washington	181		
7/21/2022	Wayne	161		
7/21/2022	Westchester	3744		
7/21/2022	Western New York	2494		
7/21/2022	Wyoming	39		
7/21/2022	Yates	38		
7/20/2022	Albany	856		
7/20/2022	Allegany	79		
7/20/2022	Bronx	7996		
7/20/2022	Broome	758		
7/20/2022	Capital Region	3394		
7/20/2022	Cattaraugus	139		
7/20/2022	Cayuga	261		
7/20/2022	Central New York	2404		
7/20/2022	Chautauqua	92		
7/20/2022	Chemung	255		
7/20/2022	Chenango	73		
7/20/2022	Clinton	159		
7/20/2022	Columbia	93		
7/20/2022	Cortland	101		
7/20/2022	Delaware	87		
7/20/2022	Dutchess	776		
7/20/2022	Erie	1947		
7/20/2022	Essex	100		
7/20/2022	Finger Lakes	3026		
7/20/2022	Franklin	107		
7/20/2022	Fulton	106		
7/20/2022	Genesee	164		
7/20/2022	Greene	95		
7/20/2022	Hamilton	4		
7/20/2022	Herkimer	134		
7/20/2022	Jefferson	233		
7/20/2022	Kings	13590		
7/20/2022	Lewis	50		
7/20/2022	Livingston	94		
7/20/2022	Long Island	12321		
7/20/2022	Madison	213		
7/20/2022	Mid-Hudson	8245		
7/20/2022	Mohawk Valley	1169		
7/20/2022	Monroe	1906		
7/20/2022	Montgomery	77		
7/20/2022	Nassau	6145		
7/20/2022	New York	12350		
7/20/2022	New York City	49471		
7/20/2022	Niagara	372		
7/20/2022	North Country	871		
7/20/2022	Oneida	709		
7/20/2022	Onondaga	1558		
7/20/2022	Ontario	273		
7/20/2022	Orange	1471		
7/20/2022	Orleans	76		
7/20/2022	Oswego	271		
7/20/2022	Otsego	87		
7/20/2022	Putnam	309		
7/20/2022	Queens	12366		
7/20/2022	Rensselaer	797		
7/20/2022	Richmond	3169		
7/20/2022	Rockland	988		
7/20/2022	STATEWIDE	85487		
7/20/2022	Saratoga	527		
7/20/2022	Schenectady	546		
7/20/2022	Schoharie	56		
7/20/2022	Schuyler	106		
7/20/2022	Seneca	102		
7/20/2022	Southern Tier	1957		
7/20/2022	St. Lawrence	218		
7/20/2022	Steuben	161		
7/20/2022	Suffolk	6176		
7/20/2022	Sullivan	250		
7/20/2022	Tioga	131		
7/20/2022	Tompkins	386		
7/20/2022	Ulster	632		
7/20/2022	Warren	316		
7/20/2022	Washington	164		
7/20/2022	Wayne	242		
7/20/2022	Westchester	3819		
7/20/2022	Western New York	2629		
7/20/2022	Wyoming	61		
7/20/2022	Yates	108		
7/19/2022	Albany	792		
7/19/2022	Allegany	72		
7/19/2022	Bronx	7899		
7/19/2022	Broome	481		
7/19/2022	Capital Region	2347		
7/19/2022	Cattaraugus	137		
7/19/2022	Cayuga	203		
7/19/2022	Central New York	1699		
7/19/2022	Chautauqua	135		
7/19/2022	Chemung	335		
7/19/2022	Chenango	109		
7/19/2022	Clinton	105		
7/19/2022	Columbia	89		
7/19/2022	Cortland	126		
7/19/2022	Delaware	89		
7/19/2022	Dutchess	629		
7/19/2022	Erie	1678		
7/19/2022	Essex	55		
7/19/2022	Finger Lakes	2672		
7/19/2022	Franklin	92		
7/19/2022	Fulton	69		
7/19/2022	Genesee	110		
7/19/2022	Greene	70		
7/19/2022	Hamilton	6		
7/19/2022	Herkimer	161		
7/19/2022	Jefferson	224		
7/19/2022	Kings	15397		
7/19/2022	Lewis	65		
7/19/2022	Livingston	127		
7/19/2022	Long Island	12404		
7/19/2022	Madison	124		
7/19/2022	Mid-Hudson	9873		
7/19/2022	Mohawk Valley	1157		
7/19/2022	Monroe	1750		
7/19/2022	Montgomery	62		
7/19/2022	Nassau	6351		
7/19/2022	New York	11131		
7/19/2022	New York City	50603		
7/19/2022	Niagara	457		
7/19/2022	North Country	730		
7/19/2022	Oneida	683		
7/19/2022	Onondaga	1004		
7/19/2022	Ontario	273		
7/19/2022	Orange	2557		
7/19/2022	Orleans	72		
7/19/2022	Oswego	242		
7/19/2022	Otsego	123		
7/19/2022	Putnam	307		
7/19/2022	Queens	13323		
7/19/2022	Rensselaer	351		
7/19/2022	Richmond	2853		
7/19/2022	Rockland	1344		
7/19/2022	STATEWIDE	85851		
7/19/2022	Saratoga	412		
7/19/2022	Schenectady	353		
7/19/2022	Schoharie	59		
7/19/2022	Schuyler	60		
7/19/2022	Seneca	68		
7/19/2022	Southern Tier	1887		
7/19/2022	St. Lawrence	183		
7/19/2022	Steuben	259		
7/19/2022	Suffolk	6053		
7/19/2022	Sullivan	326		
7/19/2022	Tioga	131		
7/19/2022	Tompkins	423		
7/19/2022	Ulster	606		
7/19/2022	Warren	167		
7/19/2022	Washington	113		
7/19/2022	Wayne	161		
7/19/2022	Westchester	4104		
7/19/2022	Western New York	2479		
7/19/2022	Wyoming	61		
7/19/2022	Yates	50		
7/18/2022	Albany	352		
7/18/2022	Allegany	26		
7/18/2022	Bronx	4470		
7/18/2022	Broome	239		
7/18/2022	Capital Region	1345		
7/18/2022	Cattaraugus	46		
7/18/2022	Cayuga	148		
7/18/2022	Central New York	1040		
7/18/2022	Chautauqua	91		
7/18/2022	Chemung	133		
7/18/2022	Chenango	31		
7/18/2022	Clinton	84		
7/18/2022	Columbia	66		
7/18/2022	Cortland	46		
7/18/2022	Delaware	52		
7/18/2022	Dutchess	551		
7/18/2022	Erie	1228		
7/18/2022	Essex	43		
7/18/2022	Finger Lakes	1442		
7/18/2022	Franklin	42		
7/18/2022	Fulton	71		
7/18/2022	Genesee	57		
7/18/2022	Greene	37		
7/18/2022	Hamilton	6		
7/18/2022	Herkimer	79		
7/18/2022	Jefferson	193		
7/18/2022	Kings	7530		
7/18/2022	Lewis	35		
7/18/2022	Livingston	56		
7/18/2022	Long Island	7469		
7/18/2022	Madison	112		
7/18/2022	Mid-Hudson	4962		
7/18/2022	Mohawk Valley	579		
7/18/2022	Monroe	919		
7/18/2022	Montgomery	50		
7/18/2022	Nassau	3732		
7/18/2022	New York	6358		
7/18/2022	New York City	27580		
7/18/2022	Niagara	281		
7/18/2022	North Country	498		
7/18/2022	Oneida	263		
7/18/2022	Onondaga	588		
7/18/2022	Ontario	153		
7/18/2022	Orange	827		
7/18/2022	Orleans	55		
7/18/2022	Oswego	146		
7/18/2022	Otsego	84		
7/18/2022	Putnam	154		
7/18/2022	Queens	7671		
7/18/2022	Rensselaer	241		
7/18/2022	Richmond	1551		
7/18/2022	Rockland	646		
7/18/2022	STATEWIDE	47464		
7/18/2022	Saratoga	258		
7/18/2022	Schenectady	199		
7/18/2022	Schoharie	32		
7/18/2022	Schuyler	90		
7/18/2022	Seneca	25		
7/18/2022	Southern Tier	877		
7/18/2022	St. Lawrence	95		
7/18/2022	Steuben	132		
7/18/2022	Suffolk	3737		
7/18/2022	Sullivan	167		
7/18/2022	Tioga	49		
7/18/2022	Tompkins	151		
7/18/2022	Ulster	364		
7/18/2022	Warren	114		
7/18/2022	Washington	78		
7/18/2022	Wayne	115		
7/18/2022	Westchester	2253		
7/18/2022	Western New York	1672		
7/18/2022	Wyoming	37		
7/18/2022	Yates	25		
7/17/2022	Albany	407		
7/17/2022	Allegany	55		
7/17/2022	Bronx	4186		
7/17/2022	Broome	700		
7/17/2022	Capital Region	1801		
7/17/2022	Cattaraugus	80		
7/17/2022	Cayuga	94		
7/17/2022	Central New York	1115		
7/17/2022	Chautauqua	78		
7/17/2022	Chemung	127		
7/17/2022	Chenango	63		
7/17/2022	Clinton	105		
7/17/2022	Columbia	56		
7/17/2022	Cortland	64		
7/17/2022	Delaware	47		
7/17/2022	Dutchess	380		
7/17/2022	Erie	1141		
7/17/2022	Essex	53		
7/17/2022	Finger Lakes	1774		
7/17/2022	Franklin	68		
7/17/2022	Fulton	62		
7/17/2022	Genesee	70		
7/17/2022	Greene	50		
7/17/2022	Hamilton	6		
7/17/2022	Herkimer	99		
7/17/2022	Jefferson	117		
7/17/2022	Kings	8138		
7/17/2022	Lewis	31		
7/17/2022	Livingston	55		
7/17/2022	Long Island	7823		
7/17/2022	Madison	81		
7/17/2022	Mid-Hudson	4583		
7/17/2022	Mohawk Valley	523		
7/17/2022	Monroe	1158		
7/17/2022	Montgomery	51		
7/17/2022	Nassau	3981		
7/17/2022	New York	6732		
7/17/2022	New York City	28215		
7/17/2022	Niagara	259		
7/17/2022	North Country	534		
7/17/2022	Oneida	215		
7/17/2022	Onondaga	732		
7/17/2022	Ontario	184		
7/17/2022	Orange	707		
7/17/2022	Orleans	61		
7/17/2022	Oswego	144		
7/17/2022	Otsego	71		
7/17/2022	Putnam	181		
7/17/2022	Queens	7528		
7/17/2022	Rensselaer	229		
7/17/2022	Richmond	1631		
7/17/2022	Rockland	832		
7/17/2022	STATEWIDE	49188		
7/17/2022	Saratoga	538		
7/17/2022	Schenectady	266		
7/17/2022	Schoharie	25		
7/17/2022	Schuyler	11		
7/17/2022	Seneca	30		
7/17/2022	Southern Tier	1207		
7/17/2022	St. Lawrence	154		
7/17/2022	Steuben	98		
7/17/2022	Suffolk	3842		
7/17/2022	Sullivan	158		
7/17/2022	Tioga	93		
7/17/2022	Tompkins	68		
7/17/2022	Ulster	255		
7/17/2022	Warren	150		
7/17/2022	Washington	105		
7/17/2022	Wayne	168		
7/17/2022	Westchester	2070		
7/17/2022	Western New York	1613		
7/17/2022	Wyoming	27		
7/17/2022	Yates	21		
7/16/2022	Albany	658		
7/16/2022	Allegany	49		
7/16/2022	Bronx	6161		
7/16/2022	Broome	383		
7/16/2022	Capital Region	2552		
7/16/2022	Cattaraugus	81		
7/16/2022	Cayuga	204		
7/16/2022	Central New York	1575		
7/16/2022	Chautauqua	141		
7/16/2022	Chemung	299		
7/16/2022	Chenango	71		
7/16/2022	Clinton	117		
7/16/2022	Columbia	92		
7/16/2022	Cortland	112		
7/16/2022	Delaware	98		
7/16/2022	Dutchess	554		
7/16/2022	Erie	1773		
7/16/2022	Essex	79		
7/16/2022	Finger Lakes	2578		
7/16/2022	Franklin	80		
7/16/2022	Fulton	102		
7/16/2022	Genesee	124		
7/16/2022	Greene	72		
7/16/2022	Hamilton	9		
7/16/2022	Herkimer	144		
7/16/2022	Jefferson	124		
7/16/2022	Kings	12981		
7/16/2022	Lewis	33		
7/16/2022	Livingston	115		
7/16/2022	Long Island	10886		
7/16/2022	Madison	126		
7/16/2022	Mid-Hudson	6779		
7/16/2022	Mohawk Valley	1173		
7/16/2022	Monroe	1686		
7/16/2022	Montgomery	58		
7/16/2022	Nassau	5582		
7/16/2022	New York	11678		
7/16/2022	New York City	45227		
7/16/2022	Niagara	286		
7/16/2022	North Country	654		
7/16/2022	Oneida	716		
7/16/2022	Onondaga	930		
7/16/2022	Ontario	214		
7/16/2022	Orange	1133		
7/16/2022	Orleans	84		
7/16/2022	Oswego	203		
7/16/2022	Otsego	111		
7/16/2022	Putnam	242		
7/16/2022	Queens	11709		
7/16/2022	Rensselaer	398		
7/16/2022	Richmond	2698		
7/16/2022	Rockland	910		
7/16/2022	STATEWIDE	75261		
7/16/2022	Saratoga	479		
7/16/2022	Schenectady	511		
7/16/2022	Schoharie	42		
7/16/2022	Schuyler	70		
7/16/2022	Seneca	69		
7/16/2022	Southern Tier	1507		
7/16/2022	St. Lawrence	212		
7/16/2022	Steuben	162		
7/16/2022	Suffolk	5304		
7/16/2022	Sullivan	336		
7/16/2022	Tioga	109		
7/16/2022	Tompkins	315		
7/16/2022	Ulster	465		
7/16/2022	Warren	202		
7/16/2022	Washington	140		
7/16/2022	Wayne	193		
7/16/2022	Westchester	3139		
7/16/2022	Western New York	2330		
7/16/2022	Wyoming	35		
7/16/2022	Yates	58		
7/15/2022	Albany	614		
7/15/2022	Allegany	62		
7/15/2022	Bronx	7940		
7/15/2022	Broome	446		
7/15/2022	Capital Region	2894		
7/15/2022	Cattaraugus	112		
7/15/2022	Cayuga	257		
7/15/2022	Central New York	1982		
7/15/2022	Chautauqua	96		
7/15/2022	Chemung	233		
7/15/2022	Chenango	90		
7/15/2022	Clinton	148		
7/15/2022	Columbia	120		
7/15/2022	Cortland	93		
7/15/2022	Delaware	118		
7/15/2022	Dutchess	649		
7/15/2022	Erie	1548		
7/15/2022	Essex	80		
7/15/2022	Finger Lakes	2808		
7/15/2022	Franklin	96		
7/15/2022	Fulton	95		
7/15/2022	Genesee	131		
7/15/2022	Greene	195		
7/15/2022	Hamilton	12		
7/15/2022	Herkimer	112		
7/15/2022	Jefferson	204		
7/15/2022	Kings	15199		
7/15/2022	Lewis	65		
7/15/2022	Livingston	115		
7/15/2022	Long Island	11444		
7/15/2022	Madison	193		
7/15/2022	Mid-Hudson	7828		
7/15/2022	Mohawk Valley	1159		
7/15/2022	Monroe	1821		
7/15/2022	Montgomery	61		
7/15/2022	Nassau	5878		
7/15/2022	New York	13317		
7/15/2022	New York City	52672		
7/15/2022	Niagara	312		
7/15/2022	North Country	827		
7/15/2022	Oneida	533		
7/15/2022	Onondaga	1193		
7/15/2022	Ontario	272		
7/15/2022	Orange	1256		
7/15/2022	Orleans	61		
7/15/2022	Oswego	246		
7/15/2022	Otsego	240		
7/15/2022	Putnam	271		
7/15/2022	Queens	13463		
7/15/2022	Rensselaer	531		
7/15/2022	Richmond	2753		
7/15/2022	Rockland	1020		
7/15/2022	STATEWIDE	85426		
7/15/2022	Saratoga	469		
7/15/2022	Schenectady	363		
7/15/2022	Schoharie	118		
7/15/2022	Schuyler	58		
7/15/2022	Seneca	75		
7/15/2022	Southern Tier	1682		
7/15/2022	St. Lawrence	222		
7/15/2022	Steuben	221		
7/15/2022	Suffolk	5566		
7/15/2022	Sullivan	211		
7/15/2022	Tioga	136		
7/15/2022	Tompkins	380		
7/15/2022	Ulster	540		
7/15/2022	Warren	394		
7/15/2022	Washington	208		
7/15/2022	Wayne	199		
7/15/2022	Westchester	3881		
7/15/2022	Western New York	2130		
7/15/2022	Wyoming	78		
7/15/2022	Yates	56		
7/14/2022	Albany	642		
7/14/2022	Allegany	51		
7/14/2022	Bronx	8184		
7/14/2022	Broome	394		
7/14/2022	Capital Region	2658		
7/14/2022	Cattaraugus	157		
7/14/2022	Cayuga	182		
7/14/2022	Central New York	2385		
7/14/2022	Chautauqua	169		
7/14/2022	Chemung	257		
7/14/2022	Chenango	68		
7/14/2022	Clinton	116		
7/14/2022	Columbia	114		
7/14/2022	Cortland	119		
7/14/2022	Delaware	74		
7/14/2022	Dutchess	645		
7/14/2022	Erie	2023		
7/14/2022	Essex	81		
7/14/2022	Finger Lakes	2371		
7/14/2022	Franklin	124		
7/14/2022	Fulton	113		
7/14/2022	Genesee	116		
7/14/2022	Greene	89		
7/14/2022	Hamilton	13		
7/14/2022	Herkimer	94		
7/14/2022	Jefferson	193		
7/14/2022	Kings	16549		
7/14/2022	Lewis	52		
7/14/2022	Livingston	105		
7/14/2022	Long Island	12049		
7/14/2022	Madison	121		
7/14/2022	Mid-Hudson	9712		
7/14/2022	Mohawk Valley	1170		
7/14/2022	Monroe	1471		
7/14/2022	Montgomery	67		
7/14/2022	Nassau	6143		
7/14/2022	New York	12227		
7/14/2022	New York City	53051		
7/14/2022	Niagara	365		
7/14/2022	North Country	770		
7/14/2022	Oneida	617		
7/14/2022	Onondaga	1703		
7/14/2022	Ontario	232		
7/14/2022	Orange	1552		
7/14/2022	Orleans	74		
7/14/2022	Oswego	260		
7/14/2022	Otsego	222		
7/14/2022	Putnam	299		
7/14/2022	Queens	13616		
7/14/2022	Rensselaer	328		
7/14/2022	Richmond	2475		
7/14/2022	Rockland	2815		
7/14/2022	STATEWIDE	88497		
7/14/2022	Saratoga	573		
7/14/2022	Schenectady	396		
7/14/2022	Schoharie	57		
7/14/2022	Schuyler	46		
7/14/2022	Seneca	75		
7/14/2022	Southern Tier	1566		
7/14/2022	St. Lawrence	191		
7/14/2022	Steuben	235		
7/14/2022	Suffolk	5906		
7/14/2022	Sullivan	233		
7/14/2022	Tioga	122		
7/14/2022	Tompkins	370		
7/14/2022	Ulster	415		
7/14/2022	Warren	281		
7/14/2022	Washington	235		
7/14/2022	Wayne	160		
7/14/2022	Westchester	3753		
7/14/2022	Western New York	2765		
7/14/2022	Wyoming	59		
7/14/2022	Yates	79		
7/13/2022	Albany	790		
7/13/2022	Allegany	74		
7/13/2022	Bronx	9533		
7/13/2022	Broome	476		
7/13/2022	Capital Region	3022		
7/13/2022	Cattaraugus	112		
7/13/2022	Cayuga	180		
7/13/2022	Central New York	2464		
7/13/2022	Chautauqua	131		
7/13/2022	Chemung	312		
7/13/2022	Chenango	127		
7/13/2022	Clinton	179		
7/13/2022	Columbia	142		
7/13/2022	Cortland	101		
7/13/2022	Delaware	119		
7/13/2022	Dutchess	898		
7/13/2022	Erie	1991		
7/13/2022	Essex	71		
7/13/2022	Finger Lakes	2947		
7/13/2022	Franklin	90		
7/13/2022	Fulton	102		
7/13/2022	Genesee	141		
7/13/2022	Greene	80		
7/13/2022	Hamilton	10		
