Test_Date	County	Total_Number_of_Tests_Performed		
8/28/2023	St. Lawrence	62		
8/28/2023	Steuben	7		
8/28/2023	Suffolk	503		
8/28/2023	Sullivan	13		
8/28/2023	Tioga	4		
8/28/2023	Tompkins	9		
8/28/2023	Ulster	24		
8/28/2023	Warren	22		
8/28/2023	Washington	15		
8/28/2023	Wayne	24		
8/28/2023	Westchester	451		
8/28/2023	Western New York	137		
8/28/2023	Wyoming	1		
8/28/2023	Yates	1		
8/27/2023	Albany	62		
8/27/2023	Allegany	3		
8/27/2023	Bronx	586		
8/27/2023	Broome	12		
8/27/2023	Capital Region	231		
8/27/2023	Cattaraugus	4		
8/27/2023	Cayuga	10		
8/27/2023	Central New York	279		
8/27/2023	Chautauqua	14		
8/27/2023	Chemung	21		
8/27/2023	Chenango	29		
8/27/2023	Clinton	29		
8/27/2023	Columbia	8		
8/27/2023	Cortland	11		
8/27/2023	Delaware	5		
8/27/2023	Dutchess	67		
8/27/2023	Erie	44		
8/27/2023	Essex	12		
8/27/2023	Finger Lakes	248		
8/27/2023	Franklin	12		
8/27/2023	Fulton	16		
8/27/2023	Genesee	7		
8/27/2023	Greene	4		
8/27/2023	Hamilton	1		
8/27/2023	Herkimer	2		
8/27/2023	Jefferson	44		
8/27/2023	Kings	910		
8/27/2023	Lewis	8		
8/27/2023	Livingston	1		
8/27/2023	Long Island	1001		
8/27/2023	Madison	23		
8/27/2023	Mid-Hudson	818		
8/27/2023	Mohawk Valley	92		
8/27/2023	Monroe	178		
8/27/2023	Montgomery	14		
8/27/2023	Nassau	567		
8/27/2023	New York	438		
8/27/2023	New York City	2852		
8/27/2023	Niagara	7		
8/27/2023	North Country	145		
8/27/2023	Oneida	56		
8/27/2023	Onondaga	189		
8/27/2023	Ontario	14		
8/27/2023	Orange	176		
8/27/2023	Orleans	6		
8/27/2023	Oswego	46		
8/27/2023	Otsego	3		
8/27/2023	Putnam	45		
8/27/2023	Queens	766		
8/27/2023	Rensselaer	34		
8/27/2023	Richmond	152		
8/27/2023	Rockland	112		
8/27/2023	STATEWIDE	5831		
8/27/2023	Saratoga	82		
8/27/2023	Schenectady	15		
8/27/2023	Schoharie	1		
8/27/2023	Schuyler	1		
8/27/2023	Seneca	13		
8/27/2023	Southern Tier	93		
8/27/2023	St. Lawrence	39		
8/27/2023	Steuben	10		
8/27/2023	Suffolk	434		
8/27/2023	Sullivan	13		
8/27/2023	Tioga	7		
8/27/2023	Tompkins	8		
8/27/2023	Ulster	30		
8/27/2023	Warren	21		
8/27/2023	Washington	5		
8/27/2023	Wayne	24		
8/27/2023	Westchester	375		
8/27/2023	Western New York	72		
8/27/2023	Wyoming	4		
8/27/2023	Yates	1		
8/26/2023	Albany	83		
8/26/2023	Allegany	2		
8/26/2023	Bronx	845		
8/26/2023	Broome	33		
